Customer_ID,Age,Income,Credit_Score,Balance,Loan,Default
CUST-2001,45,85000,740,65000,45000,0
CUST-2002,32,54000,680,24000,60000,0
CUST-2003,28,42000,590,8500,75000,1
CUST-2004,52,110000,790,145000,35000,0
CUST-2005,39,72000,710,48000,55000,0
CUST-2006,24,35000,560,4200,65000,1
CUST-2007,48,95000,760,92000,40000,0
CUST-2008,36,64000,690,38000,48000,0
CUST-2009,58,135000,810,210000,20000,0
CUST-2010,31,48000,620,15000,80000,1
CUST-2011,43,88000,730,72000,50000,0
CUST-2012,29,52000,670,28000,45000,0
CUST-2013,50,105000,780,125000,30000,0
CUST-2014,35,68000,700,42000,52000,0
CUST-2015,27,39000,580,6800,70000,1
