Sensor_ID,Temperature,Pressure,Vibration,Efficiency,Status_Code,Batch
SNS-3001,72.4,101.5,1.24,96.8,Normal,Batch-Alpha
SNS-3002,68.9,98.2,0.85,98.4,Normal,Batch-Alpha
SNS-3003,88.5,115.4,3.42,74.2,Warning,Batch-Beta
SNS-3004,74.1,102.0,1.10,95.9,Normal,Batch-Alpha
SNS-3005,94.2,122.8,4.85,58.6,Critical,Batch-Gamma
SNS-3006,70.5,99.4,0.92,97.8,Normal,Batch-Beta
SNS-3007,82.0,108.6,2.15,86.4,Normal,Batch-Beta
SNS-3008,66.8,96.5,0.78,99.1,Normal,Batch-Delta
SNS-3009,89.6,118.2,3.90,69.5,Warning,Batch-Gamma
SNS-3010,73.2,100.8,1.15,96.2,Normal,Batch-Delta
SNS-3011,96.0,126.5,5.20,52.4,Critical,Batch-Gamma
SNS-3012,71.8,100.2,1.05,97.1,Normal,Batch-Alpha
SNS-3013,84.5,110.0,2.60,82.8,Warning,Batch-Beta
SNS-3014,69.4,98.8,0.88,98.2,Normal,Batch-Delta
SNS-3015,75.6,103.4,1.45,94.6,Normal,Batch-Alpha
